reporter_name,partner_name,year,trade_flow,no-of_imported_HS6_digit_products,import_share_in_total_products_percent,import_us_dollars_thousand,import_partner_share,ahs_simple_average,ahs_weighted_average_percent,ahs_total_tariff_lines,ahs_dutiable_tariff_lines_share_percent,ahs_duty_free_tariff_lines_share_percent,ahs_specific_tariff_lines_share_percent,ahs_ave_tariff_lines_share_percent,ahs_maxrate_percent,ahs_minrate_percent,ahs_specific_duty_imports_us_dollars_thousand,ahs_dutiable_imports_us_dollars_thousand,ahs_duty_free_imports_us_dollars_thousand,mfn_simple_average_percent,mfn_weighted_average_percent,mfn_total_tariff_lines,mfn_dutiable_tariff_lines_share_percent,mfn_duty_free_tariff_lines_share_percent,mfn_specific_tariff_lines_share_percent,mfn_ave_tariff_lines_share_percent,mfn_max_rate_percent,mfn_minrate_percent,mfn_specific_duty_imports_us_dollars_thousand,mfn_dutiable_imports_us_dollars_thousand,mfn_duty_free_imports_us_dollars_thousand,no_of_tariff_agreement
 World,El Salvador,2017,Import,2469,51.15,4363926,0.03,3.31,8.23,22362,27.06,68.02,0.32,4.6,513,0,69107.75,3629301.39,195965.5,9.99,13.06,497412,70.35,25.15,10.17,89.76,3000,0,1071289.57,3814022.64,11244.26,25
 World,San Marino,2017,Import,1015,21.03,129252.22,0,2.24,4.11,6912,32.52,64.83,0.16,2.49,3000,0,3497.56,85801.21,30543.12,9.54,7.1,210770,71.84,24.14,14.13,108.49,3000,0,29506.86,116245.79,98.54,6
 World,Somalia,2017,Import,380,7.87,213195.69,0,2.42,0.36,1634,28.21,71.24,0,0.55,56.12,0,0,30659.75,142184.78,8.34,14.8,75488,67.1,29.66,15.42,134.21,3000,0,30943.54,172844.28,0.25,40
 World,Special Categories,2017,Import,2133,44.19,36843010.73,0.23,9.23,3.4,5466,57.78,37.34,0.55,4.34,282.4,0,1268.87,2784480.6,1849840.82,9.48,7.43,471975,70.26,25.51,35.89,329.67,3000,0,1164373.32,4446217.63,188103.78,
 World,Saint Pierre and Miquelon,2017,Import,168,3.48,5466.15,0,4.7,4.43,504,21.23,78.77,0,0,40,0,0,1191.55,2399.6,8.96,8.29,32268,63.97,32.23,16.87,226.39,3000,0,321.08,3545.29,45.86,5
 World,South Sudan,2017,Import,256,5.3,1346364.63,0.01,3.47,0.65,615,48.46,51.06,0.49,0,40,0,0.39,8169.87,62018.44,7.41,3.42,32623,63.89,32.38,15.28,182.28,3000,0,60068.44,70188.31,0,17
 World,Sub-Saharan Africa,2017,Import,4600,95.3,296019616.3,1.84,2.81,2.63,541788,31.83,65.55,0.25,2.37,3000,0,74236307.76,217585993.6,4680489.4,9.17,7,878458,69.87,26.14,0.71,5.76,3000,0,93554833.82,219050890.3,3215592.71,1625
 World,Sao Tome and Principe,2017,Import,901,18.67,14318.43,0,2.35,2.08,5007,42.32,55.36,0.16,2.16,40,0,1.53,2692.75,9816.89,9.18,6.34,201203,68.35,27.58,24.99,138.25,3000,0,2296.88,12509.36,0.28,26
 World,Sudan,2017,Import,953,19.74,1777466.77,0.01,7.17,3.94,8147,65.86,24.79,1.28,8.06,3000,0,11611.17,1981631.7,2185522.61,9.69,6.85,269912,67.72,27.71,19.01,132.37,3000,0,1448097.97,4133086.42,34067.89,
 World,Suriname,2017,Import,1724,35.72,2047461.69,0.01,0.91,0.23,9725,8.68,89.43,0.16,1.73,274.5,0,15.19,154242.2,1777167.52,9.68,5.26,374726,69.24,26.16,19,158.18,3000,0,267127.71,1922914.53,8495.19,27
